ad_type,start_date,end_date,created_on,lon,lat,l2,l3,rooms,bedrooms,bathrooms,surface_total,surface_covered,currency,title,description,property_type,operation_type,price
Propiedad,2020-01-05,2020-02-11,2020-01-05,-58.3613050815,-34.6173838817,Capital Federal,Puerto Madero,3.0,2.0,1.0,81.0,73.0,USD,Duplex 3 ambientes al contrafrente en Puerto Madero,"Duplex 3 ambientes,  (es un depto de 2 ambientes hecho a 3),  cocina americana integrada a la sala con salida a balçon corrido. Vista abierta a los jardines. Excelente estado, amplio dormitorio principal con gran lugar de guardado y escritorio.  Dormitorio secundario más pequeño, pero muy bien aprovechado el espacio para el guardado. Muy luminoso, con muebles hechos a medida de muy buena calidad , que incluye lava vajllas. Baño completo en la Planta Alta. Toilette de recepción ; Tiene aislamiento realizado en el techo de la planta alta que lo hace muy fresco. Baulera, balcón amplio con toldo rebatible, losa radiante con control manual.Consultanos y coordinamos una visita.Actualmente con renta.Toda la información y medidas provistas son aproximadas y deberán ratificarse con la documentación pertinente. Los impuestos y gastos expresados se refieren a la última información recabada y deberán confirmarse. Las fotografías no son vinculantes ni contractuales.Esta operación inmobiliaria se encuentra a cargo y es objeto de intermediación y conclusión por parte del Corredor Inmobiliario matriculado correspondiente: Agustín Amidolare CPI 7556 | Sergio Fernandez Milessi CSI 5681.",Departamento,Venta,319000.0
Propiedad,2020-05-20,2020-05-20,2020-05-20,-58.359903,-34.61809,Capital Federal,Puerto Madero,3.0,2.0,3.0,120.0,115.0,USD,NUEVO VALOR EN VENTA 3 AMB ALTISIMO! OPORTUNIDAD Complejo Zencity,"Departamento de 3 ambCocina semi integradaToilette de recepciónBalcón aterrazadoDos dormitorios en suite2 cocheras incluidas en el precio Opción venta!Esta propiedad se encuentra en el exclusivo complejo Zencity ubicado en Dique 1, delimitado por el Boulevard Juana Manso y la Av. Rosario Vera Peñaloza, en 8 manzanas, 5 de ellas frente al río. Arq. Bodas, Miani y Anger y Asociados (BMA) inspirado por diversos emprendimientos de la ciudad de Palm Beach, Miami, Estados Unidos.El complejo consiste en  la Torre Ónix, Rubí, la Ámbar y el edificio Zafiro.Ámbar y Rubi de Pb y 23 pisos Zafiro es un edificio aterrazado de planta baja y 9.Ónix combina una torre de 23 pisos con un volumen escalonado de 9 pisos.  En Zencity, el equilibrio está en todas sus áreas, residenciales y comerciales. Hay armonía en todos sus espacios, privados y comunes.  Son cuatro edificios que convergen en una gran plaza central de 8500 m2, con jardines con todo tipo de vegetación, cascadas, piscinas climatizadas, hidromasajes, y espacios para niños. Las unidades tienen desde 35 a 350 m2, y tiene 2 subsuelosPLAZA CENTRAL PARA USO PRIVADO, SOLARIUM, SPA , BAR CHILL OUT, JARDINES Y CASCADA DE AGUA, HIDROMASAJE, SALON DE USOS MULTIPLES, GIMNASIO, PISCINA CLIMATIZADA Y DE NATACION, VESTUARIOS, MICROCINE, SAUNA, LAUNDRY, ESPACIO PARA NIÑOS, BUSINESS CENTER, ZENCITY KIDS, SEGURIDAD 24HS.""Las medidas, superficies, expensas y abl consignadas en la presente son al efecto orientativo. Los datos definitivos son los que surgirán del título de la propiedad y de los comprobantes respaldatorios.”SEGUINOS EN NUESTRAS REDES!Facebook: Quicksale Inmobiliaria / Instagram: Quicksalearg",Departamento,Venta,730000.0
Propiedad,2019-10-12,2019-12-23,2019-10-12,-58.3635486,-34.6031781,Capital Federal,Puerto Madero,2.0,1.0,2.0,70.0,68.0,USD,RESERVADO! Venta Torres del Yacht 2 amb!!!,Cochera no incluida en el precio: Departamento espectacular 2 amb con cocina semi integradaToilette de recepciónDormitorio en suite con pisos de madera.Listo para ingresar ,Departamento,Venta,360000.0
Propiedad,2019-10-12,2019-12-23,2019-10-12,-58.3635945,-34.6048941,Capital Federal,Puerto Madero,3.0,2.0,3.0,220.0,213.0,USD,RESERVADO EDIFICIO MADERO CENTER LO MEJOR DE MADERO 2 SUITES   SERV   TOILETTE EN 220M2,"Excelente planta al dique piso medio, En el complejo madeor center con 2 cocheras fijas y cubiertas.La unidad esta impecable, posee 2 Master Suites, Toilette de recepcion, dependencia de servicio (y los mejores Amenities de todo Puerto madero)",Departamento,Venta,1590000.0
Propiedad,2020-06-09,2020-12-31,2020-06-09,-58.363626133905434,-34.61310268652179,Capital Federal,Puerto Madero,3.0,1.0,3.0,88.0,80.0,USD,"Departamento Piso  en Venta ubicado en Puerto Madero, Capital Federal","SLS LUX Puerto Madero
Edificio ubicado sobre el dique con las mejores vistas de Madero 
Desarrollado por The Related Group 
Arquitecto Bodas Miani Anger 

Torre 2. Piso 20° - 252M2.
2 cocheras.


Diseño de Interiores del italiano Piero Lissoni 
Paisajismo por el suizo Enzo Enea 

Ubicación – En el prestigioso barrio de Puerto Madero en primera línea sobre el Dique 1 
2 torres de 30 pisos con 67 unidades cada una 
todas las unidades con palier privado 
3 metros de piso a ceiling 
todas las cocinas equipadas y todos los pisos terminados. 

Hotel de SLS Lux de 60 suites con todos los servicios que también podrán disfrutar los residentes y membresia a SLS Lux Miami, LA, NYC y otros. 
Spa, gym, salón de fiestas, restaurantes, salón de reuniones, etc. etc. 
Restaurante sobre el dique de Madero 
Del piso 3 at 16 son 3 deptos por piso (esquinas de 4 ambientes y 1 de 2 ambientes) 
Del piso 17 at 29 semipisos de 5 ambientes) 
3 metros de losa a cielorraso. 
Cocinas completamente equipadas y pisos de porcelanato incluidos en el precio. 
Balcones de 4 metros de profundidad con summer kitchens (Parrillas) 
Descripción del proyecto: 
· Desarrollador: The Related Group 
· Arquitecto: Bodas Miani Anger 
· Diseño de Interiores: Prestigioso diseñador italiano Piero Lissoni 
· Jardines: Reconocido Paisajista suizo Enzo Enea 
· 2 Torres de 30 pisos con 67 departamentos cada una 
· Hotel boutique SLS Lux con 60 suites con servicios 
· Casi 500 cocheras, algunas con A/C para coleccionistas de autos 
Características: 
· Elegantes condominiums de sofisticado diseño con acabados contemporáneos 
· Departamentos con altura de locales de 3 metros 
· Palier privado para cada unidad 
· Amplias terrazas de 4 metros de profundidad con parrillera y hermosas vistas del dique, la ciudad y el rio. 
Los residentes pueden disfrutar de las siguientes amenidades y servicios: 
o Membresia de SLS Lux hotels en Miami, LA, NYC y otros. 
o Spa con servicio completo 
o Gym 
o Salón de Fiestas y Reuniones 
o 2 Piletas 
o Restaurante y Bar 

Tipología de los Departamentos: 
· Pisos 3 al 16 
o Plantas A (140 m2 interiores + 48.5 m2 de terraza) y C (140 m2 interiores + 48.5 m2 de terraza) 
3 dormitorios en suite, toilette mas dependencia de servicio 
Planta B (82.26 + 36.74 m2 de terraza) 
1 dormitorio en suite, toilette mas escritorio 
· Pisos 17 al 29 
o Plantas E y D (185m2 + 68m2 terraza) 
Semipisos de 3 dormitorios en suite, family room, toilette y dependencia de servicio 
Opcionales: 
Pisos de porcelanato 50x50 y Cocinas terminadas con: 
Heladera, Microondas y Lavaplatos. (Anafe inducción, Horno y campana viene incluidos)

 Mauricio Hugo Procupez - Matrícula CUCICBA N° 2529",Departamento,Venta,1880000.0
Propiedad,2020-06-02,2020-06-25,2020-06-02,-58.363626133905434,-34.61310268652179,Capital Federal,Puerto Madero,3.0,2.0,2.0,180.0,180.0,USD,"RENOIR, RESIDENCIAS DE ALTURA","Las unidades de “RENOIR, RESIDENCIAS DE ALTURA” han sido diseñadas con un concepto de gran flexibilidad, con departamentos que van desde 160 m2 hasta 335m2 con la posibilidad de integrar pisos completos de mas de 600 m2 y dúplex en los pisos en los pisos superiores que tienen entre 200 y 300 m2, todos ellos con inmejorables vistas al río y a la ciudad. 
<br>
<br>Ambas torres implicaran 60.000 m2 de construcción, con departamentos de dos y tres dormitorios, todos ellos en suite. Palier privado con dos ascensores de alta velocidad, de uso exclusivo (seis ascensores principales por planta más dos de servicio). 
<br>
<br>“RENOIR, RESIDENCIAS DE ALTURA”, se encuentra  emplazado en una inmejorable ubicación en la ciudad de Buenos Aires, en Puerto Madero Este, frente al Parque Mujeres Argentinas de diez hectáreas, la Reserva Ecológica, y al Río de la Plata, su entorno estratégico lo encuentra en el medio de la zona más segura y pintoresca de la ciudad. Las vistas, literalmente. No tienen límite y no lo tendrán jamás.
<br>PILETAS DE NATACION CLIMATIZADAS IN/OUT DOOR
<br>GYM, SPA CON SNACK BAR Y SECTORES DE TRATAMIENTO INDIVIDUALES POR SEXO; SAUNA, BAÑO TURCO, BAÑO FINLANDES, DUCHA ESCOSESA, HIDROMASAJE, STEAM BOX, BOXES DE MASAJE (AROMATERAPIA-OSTEOTERAPIA-REFLEXOLOGIA) Y PELUQUERIA.
<br>SALON DE USOS MULTIPLES CON SECTOR DE JUEGOS PARA NIÑOS, COCINA Y TOILETTES.
<br>JAULA DE GOLF.
<br>CANCHAS DE TENIS.
<br>PLAYON POLIDEPORTIVO.
<br>GUARDERIA PARA NIÑOS.
<br>SERVICIOS DE CONSERJERIA.
<br>HOTEL DE MUCAMAS.
<br>LAUNDRY.
<br>LAVADERO DE MASCOTAS.
<br>SALA DE CHOFERES.
<br>DISEÑADAS EN FUNCIÓN DEL CONFORT, LA SEGURIDAD Y EL VALOR ESTÉTICO. CON SOFISTICADO SERVICIOS Y PRESTACIONES DE MAXIMA CATEGORIA “RENOIR, RESIDENCIAS DE ALTURA”, CREADAS PARA DISFRUTAR DEL AIRE, DE LA FAMILIA Y DE LA VIDA.
<br>
<br><br><br><br><br>Para más información, llámanos al: 01153535005.<br><br><br><br>Aviso publicado por RGMontes .",Departamento,Venta,1100000.0
Propiedad,2020-03-04,2020-06-17,2020-03-04,-58.360168,-34.618946,Capital Federal,Puerto Madero,2.0,1.0,3.0,88.0,80.0,USD,"Departamento  en Venta ubicado en Puerto Madero, Capital Federal","Departamento de dos dormitorios en suite, sin amoblar, en un estado excelente
Súper luminoso, con orientación Norte en el Living comedor, una excelente vista al río y a la ciudad. 
El edificio cuenta con amenities de primer nivel
3 piscinas, una para pequeños, una para nadar, y otra con cascada e hidromasaje. resto/bar en la pileta! y sauna
El gimnasio se encuentra equipado con equipos de primer nivel, 
Sala de reuniones, microcine, ideal para presentaciones. Sala de Pilates, sum para eventos, sala de niños para juegos y una plaza interna para los pequeños que viven en el complejo. 
El depto esta a la venta, SIN MUEBLES
Ambas cocheras son amplias y cómodas, también dispone de 2 bauleras 

En caso de alquiler, al valor hay q sumarle gastos -expensas y abl-",Departamento,Venta,790000.0
Propiedad,2019-10-03,2020-12-31,2019-10-03,-58.3632768,-34.6041931,Capital Federal,Puerto Madero,2.0,1.0,1.0,88.0,66.0,USD,Departamento - Puerto Madero,"<br><br>Marcelo T. de Alvear 624
<br>Piso 11 - Oficina 99
<br>C.A.B.A. - Bs.As (Argentina)
<br> 
<br>",Departamento,Venta,485000.0
Propiedad,2019-10-12,2019-12-23,2019-10-12,-58.3632991,-34.6115335,Capital Federal,Puerto Madero,3.0,2.0,3.0,188.0,188.0,USD,Nuevo Ingreso Renoir 2 Rio 2da escritura,"Renoir 2Exclente unidad 3 amb piso altisimo2 dormitoros en suiteToillete de recepciónBaulera1 Cochera no incluida en el precio Torre Renoir 2AmenitiesGymMicro cineCavasSpa con snacks y sectores individualizados por sexoSaunaBaño turco- baño finlandés, ducha escocesa, hidromasajeBoxes de masajesPeluqueríaSum2 piletas descubiertas2 piletas cubiertasSector ParrillasHall de reunionesMiradorJaula de golfCancha de tenisCocheras de cortesíaGuardería para niñosSala de descanso para choferes y personal de seguridad de propietarios,Hotel de mucamas con vestuarios y lockers independientes, laundry .",Departamento,Venta,1100000.0
Propiedad,2020-05-06,2020-05-20,2020-05-06,-58.363626133905434,-34.61310268652179,Capital Federal,Puerto Madero,3.0,2.0,1.0,80.0,80.0,USD,"Excelente 3 Ambientes, Torre Le Parc, con cochera","Excelente departamento de 3 ambientes, originalmente de 2 ambientes refaccionado a 3.Departamento UNICO en piso intermedio con hermosa vista a la ciudad y al rio.La unidad está conformada por tres ambientes luminosos como se puede observar en las imagenes: Palier privado, living comedor, balcón, cocina independiente, lavadero, ingreso de servicio, toilette, dos dormitorios uno en suite con vestidor y baño privado, calefacción individual por piso radiante. El ascensor principal cuenta con clave personalizada para acceder al departamento.  Seguridad 24 hs.Las torres Le Parc, son una de las mas solicitadas de Puerto Madero por su prestigiosa seguridad, calidad de construcción y confort de sus amenities, entre ellos:* SUM con vistas al jardín del complejo y terrazas propias* Sauna* Gimnasio* Piscina para adultos 3 climatizadas* Piscina para niños* Solarium con espejo de agua y barra-bar* Juegos para niños* Laundry* Estacionamiento de cortesíaEl valor publicado incluye la cochera",Departamento,Venta,525000.0
